iter	Passed	Remaining
0	197	196968
1	215	107739
2	220	73396
3	229	57083
4	242	48183
5	254	42153
6	262	37307
7	271	33697
8	279	30820
9	288	28535
10	300	27051
11	309	25460
12	322	24465
13	330	23297
14	339	22265
15	348	21432
16	364	21104
17	377	20598
18	385	19925
19	394	19306
20	402	18746
21	415	18486
22	424	18032
23	432	17608
24	441	17219
25	458	17183
26	467	16833
27	479	16647
28	496	16611
29	508	16448
30	517	16177
31	530	16042
32	538	15774
33	547	15546
34	555	15319
35	572	15339
36	585	15238
37	593	15029
38	610	15040
39	618	14841
40	630	14757
41	645	14720
42	654	14570
43	663	14414
44	680	14442
45	689	14294
46	698	14154
47	706	14003
48	721	14005
49	734	13946
50	742	13821
51	751	13700
52	764	13652
53	776	13611
54	789	13570
55	798	13452
56	810	13416
57	823	13371
58	835	13330
59	844	13226
60	852	13129
61	861	13032
62	877	13053
63	890	13023
64	903	12991
65	919	13019
66	932	12982
67	940	12889
68	952	12858
69	962	12786
70	974	12746
71	991	12778
72	1000	12708
73	1014	12691
74	1022	12607
75	1035	12585
76	1043	12510
77	1055	12479
78	1072	12499
79	1080	12427
80	1097	12453
81	1105	12379
82	1118	12357
83	1126	12283
84	1135	12222
85	1154	12270
86	1171	12290
87	1188	12312
88	1196	12249
89	1214	12274
90	1222	12213
91	1235	12192
92	1243	12132
93	1256	12106
94	1264	12049
95	1273	11988
96	1290	12014
97	1307	12035
98	1319	12010
99	1333	11999
100	1346	11982
101	1354	11926
102	1367	11911
103	1379	11888
104	1392	11872
105	1401	11822
106	1416	11817
107	1424	11762
108	1432	11708
109	1440	11656
110	1453	11638
111	1461	11589
112	1474	11570
113	1486	11556
114	1499	11539
115	1512	11525
116	1524	11507
117	1533	11459
118	1542	11417
119	1555	11405
120	1567	11387
121	1585	11407
122	1593	11360
123	1606	11350
124	1615	11306
125	1627	11289
126	1640	11275
127	1648	11230
128	1657	11188
129	1674	11204
130	1687	11196
131	1700	11185
132	1709	11143
133	1726	11157
134	1738	11140
135	1755	11151
136	1763	11111
137	1777	11100
138	1785	11060
139	1798	11045
140	1814	11055
141	1831	11066
142	1844	11051
143	1856	11036
144	1869	11021
145	1877	10981
146	1889	10967
147	1906	10973
148	1918	10959
149	1936	10972
150	1952	10980
151	1961	10943
152	1978	10954
153	1991	10939
154	2004	10928
155	2017	10914
156	2034	10921
157	2046	10907
158	2063	10913
159	2081	10926
160	2093	10910
161	2110	10914
162	2126	10920
163	2139	10905
164	2147	10869
165	2164	10875
166	2177	10859
167	2193	10863
168	2210	10868
169	2224	10859
170	2236	10842
171	2249	10828
172	2262	10814
173	2275	10800
174	2292	10805
175	2309	10813
176	2327	10824
177	2340	10808
178	2357	10813
179	2374	10816
180	2387	10802
181	2399	10785
182	2413	10773
183	2429	10775
184	2446	10777
185	2455	10746
186	2468	10731
187	2481	10717
188	2497	10718
189	2515	10722
190	2527	10706
191	2544	10707
192	2561	10709
193	2574	10697
194	2583	10666
195	2600	10666
196	2619	10677
197	2638	10688
198	2655	10690
199	2669	10678
200	2687	10681
201	2700	10669
202	2718	10672
203	2738	10684
204	2757	10694
205	2771	10684
206	2785	10669
207	2805	10683
208	2819	10671
209	2839	10682
210	2851	10663
211	2867	10657
212	2882	10649
213	2894	10631
214	2906	10613
215	2919	10595
216	2931	10576
217	2943	10560
218	2959	10553
219	2976	10551
220	2991	10546
221	3004	10530
222	3017	10513
223	3033	10507
224	3049	10504
225	3066	10500
226	3081	10494
227	3094	10478
228	3107	10462
229	3123	10457
230	3135	10439
231	3153	10438
232	3166	10423
233	3180	10411
234	3193	10394
235	3205	10377
236	3219	10365
237	3233	10351
238	3251	10353
239	3270	10357
240	3284	10342
241	3300	10336
242	3312	10320
243	3326	10306
244	3338	10288
245	3354	10281
246	3372	10281
247	3387	10272
248	3401	10259
249	3414	10243
250	3431	10240
251	3449	10240
252	3462	10222
253	3475	10207
254	3492	10203
255	3510	10202
256	3526	10195
257	3539	10178
258	3556	10176
259	3569	10159
260	3581	10140
261	3593	10122
262	3607	10108
263	3627	10112
264	3648	10120
265	3667	10120
266	3686	10120
267	3703	10115
268	3715	10097
269	3729	10083
270	3742	10068
271	3755	10051
272	3773	10047
273	3789	10040
274	3802	10023
275	3819	10019
276	3833	10006
277	3850	10001
278	3865	9990
279	3878	9974
280	3891	9957
281	3906	9946
282	3919	9929
283	3931	9910
284	3947	9904
285	3960	9886
286	3976	9879
287	3993	9873
288	4009	9863
289	4022	9847
290	4034	9830
291	4047	9813
292	4065	9809
293	4078	9792
294	4090	9775
295	4104	9761
296	4116	9744
297	4129	9728
298	4142	9711
299	4157	9701
300	4170	9683
301	4182	9667
302	4197	9656
303	4212	9644
304	4225	9628
305	4238	9611
306	4250	9594
307	4262	9577
308	4276	9562
309	4288	9545
310	4304	9535
311	4317	9520
312	4333	9510
313	4345	9493
314	4362	9486
315	4376	9473
316	4393	9466
317	4405	9448
318	4422	9440
319	4438	9432
320	4451	9415
321	4468	9408
322	4485	9402
323	4499	9387
324	4512	9371
325	4527	9361
326	4540	9345
327	4557	9336
328	4569	9318
329	4591	9322
330	4604	9306
331	4620	9296
332	4641	9297
333	4656	9284
334	4679	9288
335	4692	9272
336	4705	9256
337	4718	9241
338	4739	9241
339	4756	9233
340	4773	9224
341	4793	9222
342	4811	9215
343	4832	9216
344	4851	9211
345	4872	9209
346	4890	9203
347	4910	9199
348	4928	9192
349	4941	9177
350	4966	9183
351	4979	9166
352	4992	9151
353	5014	9151
354	5033	9144
355	5057	9149
356	5074	9140
357	5088	9124
358	5101	9108
359	5117	9098
360	5130	9081
361	5147	9072
362	5166	9065
363	5183	9056
364	5205	9056
365	5224	9049
366	5243	9043
367	5263	9039
368	5281	9031
369	5300	9024
370	5314	9010
371	5334	9004
372	5346	8987
373	5363	8976
374	5380	8967
375	5394	8952
376	5415	8949
377	5429	8934
378	5454	8937
379	5476	8934
380	5488	8917
381	5508	8911
382	5525	8901
383	5546	8898
384	5563	8887
385	5580	8877
386	5594	8861
387	5611	8851
388	5631	8844
389	5654	8843
390	5667	8827
391	5683	8815
392	5706	8813
393	5725	8806
394	5751	8808
395	5771	8802
396	5787	8791
397	5805	8780
398	5827	8778
399	5842	8764
400	5861	8754
401	5878	8744
402	5895	8732
403	5912	8722
404	5930	8713
405	5955	8713
406	5975	8706
407	5988	8689
408	6003	8675
409	6020	8663
410	6037	8652
411	6053	8639
412	6070	8627
413	6092	8623
414	6112	8617
415	6130	8605
416	6146	8593
417	6165	8584
418	6189	8582
419	6213	8579
420	6231	8570
421	6253	8564
422	6275	8560
423	6300	8559
424	6313	8541
425	6329	8528
426	6346	8515
427	6364	8505
428	6392	8508
429	6414	8503
430	6432	8491
431	6448	8478
432	6464	8465
433	6482	8453
434	6498	8440
435	6519	8433
436	6537	8422
437	6559	8416
